name	x	y	z
Fp1	0.95	0.31	-0.03
AF7	0.81	0.59	-0.03
AF3	0.87	0.41	0.28
F1	0.71	0.29	0.64
F3	0.67	0.55	0.50
F5	0.63	0.73	0.26
F7	0.59	0.81	-0.03
FT7	0.31	0.95	-0.03
FC5	0.34	0.89	0.31
FC3	0.36	0.68	0.64
FC1	0.37	0.37	0.85
C1	0.00	0.39	0.92
C3	0.00	0.72	0.69
C5	0.00	0.93	0.36
T7	0.00	1.00	-0.03
TP7	-0.31	0.95	-0.03
CP5	-0.34	0.89	0.31
CP3	-0.36	0.68	0.64
CP1	-0.37	0.37	0.85
P1	-0.71	0.29	0.64
P3	-0.67	0.55	0.50
P5	-0.63	0.73	0.26
P7	-0.59	0.81	-0.03
P9	-0.58	0.69	-0.42
PO7	-0.81	0.59	-0.03
PO3	-0.87	0.41	0.28
O1	-0.95	0.31	-0.03
Iz	-0.91	-0.00	-0.42
Oz	-1.00	-0.00	-0.03
POz	-0.93	-0.00	0.36
Pz	-0.72	-0.00	0.69
CPz	-0.39	-0.00	0.92
Fpz	1.00	0.00	-0.03
Fp2	0.95	-0.31	-0.03
AF8	0.81	-0.59	-0.03
AF4	0.87	-0.41	0.28
Afz	0.93	0.00	0.36
Fz	0.72	0.00	0.69
F2	0.71	-0.29	0.64
F4	0.67	-0.55	0.50
F6	0.63	-0.73	0.26
F8	0.59	-0.81	-0.03
FT8	0.31	-0.95	-0.03
FC6	0.34	-0.89	0.31
FC4	0.36	-0.68	0.64
FC2	0.37	-0.37	0.85
FCz	0.39	0.00	0.92
Cz	0.00	0.00	1.00
C2	0.00	-0.39	0.92
C4	0.00	-0.72	0.69
C6	0.00	-0.93	0.36
T8	0.00	-1.00	-0.03
TP8	-0.31	-0.95	-0.03
CP6	-0.34	-0.89	0.31
CP4	-0.36	-0.68	0.64
CP2	-0.37	-0.37	0.85
P2	-0.71	-0.29	0.64
P4	-0.67	-0.55	0.50
P6	-0.63	-0.73	0.26
P8	-0.59	-0.81	-0.03
P10	-0.58	-0.69	-0.42
PO8	-0.81	-0.59	-0.03
PO4	-0.87	-0.41	0.28
O2	-0.95	-0.31	-0.03
